lead_id,platform,campaign_id,ad_id,utm_source,utm_campaign,utm_content,lead_created_at,lead_created_timezone,lead_created_city,age,gender,language,device_type,operating_system,browser,first_contacted_at,replied_at,call_booked_at,converted_at,last_status_change_at,status,alert_sent
c4bd2433-c4a8-4e03-95af-f8ab6b8e2de0,Google Ads,cmp_9374,ad_80650,google_ads,performance_v1,creative_a,2025-12-10 09:05:53,GMT,Chicago,24,Non-binary,English,Mobile,Standard,Chrome,2025-12-10 09:52:53,2025-12-10 22:52:53,2025-12-14 22:52:53,2025-12-19 22:52:53,2025-12-19 22:52:53,converted,True
787c345b-f77d-4f0a-b0e4-09c975ef8c7d,LinkedIn,cmp_2588,ad_45328,linkedin,brand_growth,creative_b,2026-01-06 12:38:53,GMT,San Antonio,73,Female,English,Desktop,Standard,Chrome,2026-01-06 14:25:53,2026-01-07 02:25:53,2026-01-10 02:25:53,,2026-01-10 02:25:53,booked,True
2134e051-9e28-4195-b23d-ac06b780c2d2,LinkedIn,cmp_1765,ad_56705,linkedin,performance_v1,creative_b,2025-11-30 09:43:53,GMT,Houston,60,Non-binary,English,Desktop,Standard,Chrome,2025-11-30 11:34:53,,,,2025-11-30 11:34:53,lost,True
46f0464c-ca6a-42c5-80e1-57453f5f86d4,LinkedIn,cmp_8353,ad_76099,linkedin,brand_growth,creative_a,2025-12-16 00:20:53,GMT,Los Angeles,36,Non-binary,English,Mobile,Standard,Chrome,2025-12-16 01:15:53,2025-12-17 11:15:53,2025-12-19 11:15:53,,2025-12-19 11:15:53,booked,True
080e0045-5cca-4bb4-aeec-4e63d09a4057,Instagram,cmp_9838,ad_29707,instagram,performance_v1,creative_b,2025-12-20 22:17:53,GMT,New York,63,Non-binary,English,Tablet,Standard,Chrome,2025-12-20 22:30:53,2025-12-21 10:30:53,,,2025-12-21 10:30:53,engaged,True
831052f0-af17-4fef-a82f-94781d7862ed,LinkedIn,cmp_7569,ad_71539,linkedin,brand_growth,creative_b,2026-01-14 14:24:53,GMT,Philadelphia,18,Male,English,Mobile,Standard,Chrome,2026-01-14 16:17:53,2026-01-15 04:17:53,2026-01-19 04:17:53,,2026-01-19 04:17:53,booked,True
9e6f9030-ca5a-4a89-8572-e3b05883ae1d,LinkedIn,cmp_9622,ad_43009,linkedin,performance_v1,creative_a,2025-12-21 06:10:53,GMT,San Jose,42,Prefer not to say,English,Desktop,Standard,Chrome,2025-12-21 07:12:53,2025-12-21 21:12:53,2025-12-22 21:12:53,2025-12-28 21:12:53,2025-12-28 21:12:53,converted,True
6a1fd00c-f038-4054-9cd7-50220162a3fa,Google Ads,cmp_8339,ad_15801,google_ads,brand_growth,creative_b,2026-01-12 09:10:53,GMT,Los Angeles,21,Non-binary,English,Mobile,Standard,Chrome,2026-01-12 09:47:53,2026-01-12 12:47:53,,,2026-01-12 12:47:53,engaged,True
14bb7c58-d6e4-4d97-9e14-2e55b8d71eb5,LinkedIn,cmp_6064,ad_54100,linkedin,performance_v1,creative_b,2025-12-03 19:22:53,GMT,Dallas,63,Prefer not to say,English,Tablet,Standard,Chrome,2025-12-03 21:00:53,,,,2025-12-03 21:00:53,lost,True
c2f940b3-ab29-47ba-908c-72d6502129a0,Instagram,cmp_9634,ad_48062,instagram,brand_growth,creative_a,2025-12-30 00:38:53,GMT,New York,65,Female,English,Tablet,Standard,Chrome,2025-12-30 01:40:53,2025-12-31 13:40:53,,,2025-12-31 13:40:53,engaged,True
b13babe7-1af5-442a-8673-962f2139be6c,Google Ads,cmp_3018,ad_39520,google_ads,performance_v1,creative_b,2026-01-10 18:21:53,GMT,Houston,25,Non-binary,English,Mobile,Standard,Chrome,2026-01-10 18:55:53,2026-01-12 12:55:53,2026-01-15 12:55:53,2026-01-20 12:55:53,2026-01-20 12:55:53,converted,True
aebf5953-d6be-4557-9087-18d63a5b7d09,LinkedIn,cmp_7718,ad_83334,linkedin,brand_growth,creative_b,2025-12-02 18:35:53,GMT,Houston,41,Non-binary,English,Desktop,Standard,Chrome,2025-12-02 19:41:53,2025-12-02 22:41:53,2025-12-04 22:41:53,2025-12-10 22:41:53,2025-12-10 22:41:53,converted,True
3b9e4fe1-8e7f-4bce-aa50-395eeafed362,LinkedIn,cmp_3409,ad_57814,linkedin,performance_v1,creative_a,2025-11-29 12:15:53,GMT,San Antonio,50,Male,English,Mobile,Standard,Chrome,2025-11-29 13:00:53,2025-11-30 13:00:53,,,2025-11-30 13:00:53,engaged,True
63680155-6065-44c1-b70b-bfa12564a606,Google Ads,cmp_9860,ad_88806,google_ads,brand_growth,creative_b,2025-12-23 12:36:53,GMT,San Jose,56,Non-binary,English,Tablet,Standard,Chrome,2025-12-23 13:43:53,,,,2025-12-23 13:43:53,lost,True
cb735fca-fd2a-4e55-88fd-addbfe2166dd,LinkedIn,cmp_6311,ad_29094,linkedin,performance_v1,creative_b,2026-01-17 17:31:53,GMT,Chicago,46,Female,English,Tablet,Standard,Chrome,2026-01-17 18:18:53,,,,2026-01-17 18:18:53,lost,True
04bad8b2-a767-4220-98e1-9ecaff059fab,Instagram,cmp_5598,ad_34389,instagram,brand_growth,creative_a,2025-12-03 10:32:53,GMT,Los Angeles,71,Prefer not to say,English,Mobile,Standard,Chrome,,,,,2025-12-03 10:32:53,new,True
18613715-f23e-45d0-ab2a-7630a577cf7c,Google Ads,cmp_2302,ad_47307,google_ads,performance_v1,creative_b,2026-01-12 08:06:53,GMT,San Diego,67,Female,English,Mobile,Standard,Chrome,2026-01-12 08:17:53,,,,2026-01-12 08:17:53,lost,True
10faab6f-a069-459f-ab8f-288bbc40b262,LinkedIn,cmp_7795,ad_92843,linkedin,brand_growth,creative_b,2026-01-08 21:54:53,GMT,Chicago,23,Non-binary,English,Desktop,Standard,Chrome,2026-01-08 22:17:53,2026-01-10 13:17:53,,,2026-01-10 13:17:53,engaged,True
7959afd9-7ca4-45d7-a9ff-d5e7d7c20128,Google Ads,cmp_5667,ad_41527,google_ads,performance_v1,creative_a,2026-01-15 09:15:53,GMT,Chicago,41,Prefer not to say,English,Mobile,Standard,Chrome,2026-01-15 10:27:53,,,,2026-01-15 10:27:53,lost,True
cd1684d9-4b31-4c76-a872-83353e6a4d23,Instagram,cmp_3977,ad_60435,instagram,brand_growth,creative_b,2025-12-21 07:49:53,GMT,Phoenix,33,Male,English,Tablet,Standard,Chrome,2025-12-21 09:36:53,2025-12-21 23:36:53,2025-12-23 23:36:53,2025-12-29 23:36:53,2025-12-29 23:36:53,converted,True
f78dd581-6d26-4d33-8a01-41063c0fbbbd,LinkedIn,cmp_5463,ad_84610,linkedin,performance_v1,creative_b,2026-01-10 00:19:53,GMT,San Diego,19,Male,English,Desktop,Standard,Chrome,2026-01-10 02:12:53,,,,2026-01-10 02:12:53,lost,True
61670acf-b767-4b16-9572-cb0407b8ab6b,Google Ads,cmp_9991,ad_29451,google_ads,brand_growth,creative_a,2026-01-18 20:27:53,GMT,Dallas,25,Prefer not to say,English,Desktop,Standard,Chrome,2026-01-18 21:37:53,2026-01-20 11:37:53,2026-01-23 11:37:53,,2026-01-23 11:37:53,booked,True
59c85a13-c37a-4c51-81aa-154829054379,LinkedIn,cmp_6954,ad_76641,linkedin,performance_v1,creative_b,2025-12-19 19:29:53,GMT,Los Angeles,41,Prefer not to say,English,Desktop,Standard,Chrome,2025-12-19 19:37:53,2025-12-20 07:37:53,2025-12-21 07:37:53,,2025-12-21 07:37:53,booked,True
77e50fd4-f238-45de-b254-b6733edb6fbb,Google Ads,cmp_7970,ad_63148,google_ads,brand_growth,creative_b,2025-11-30 12:30:53,GMT,Phoenix,26,Male,English,Mobile,Standard,Chrome,2025-11-30 12:59:53,2025-12-01 13:59:53,2025-12-05 13:59:53,2025-12-13 13:59:53,2025-12-13 13:59:53,converted,True
34bea278-068b-47fb-a123-b03ba7107fec,Instagram,cmp_1450,ad_53790,instagram,performance_v1,creative_a,2026-01-20 08:31:53,GMT,Chicago,25,Female,English,Tablet,Standard,Chrome,2026-01-20 09:20:53,2026-01-20 10:20:53,2026-01-21 10:20:53,2026-01-23 10:20:53,2026-01-23 10:20:53,converted,True
e058759b-ae10-442f-aa30-6dc4e882f215,Instagram,cmp_6608,ad_86018,instagram,brand_growth,creative_b,2026-01-20 14:47:53,GMT,Phoenix,44,Male,English,Tablet,Standard,Chrome,,,,,2026-01-20 14:47:53,new,True
29062a06-0e59-4733-8ed8-218b7b433b53,LinkedIn,cmp_5517,ad_88918,linkedin,performance_v1,creative_b,2025-12-24 08:25:53,GMT,Los Angeles,73,Prefer not to say,English,Desktop,Standard,Chrome,2025-12-24 10:08:53,,,,2025-12-24 10:08:53,lost,True
55b7d468-57da-484e-a6cb-2034df2a84cd,Instagram,cmp_3784,ad_41824,instagram,brand_growth,creative_a,2025-12-20 23:06:53,GMT,Phoenix,20,Prefer not to say,English,Desktop,Standard,Chrome,2025-12-20 23:42:53,2025-12-21 05:42:53,2025-12-23 05:42:53,2025-12-31 05:42:53,2025-12-31 05:42:53,converted,True
7a433cd1-09d2-4a94-84f7-3adaa4a7f395,LinkedIn,cmp_1508,ad_51801,linkedin,performance_v1,creative_b,2025-12-07 06:30:53,GMT,New York,29,Non-binary,English,Mobile,Standard,Chrome,2025-12-07 08:24:53,2025-12-07 11:24:53,2025-12-08 11:24:53,2025-12-13 11:24:53,2025-12-13 11:24:53,converted,True
c6662e1a-5725-4bcc-a434-e0cebfa9f661,Google Ads,cmp_8419,ad_41344,google_ads,brand_growth,creative_b,2025-12-31 05:42:53,GMT,San Jose,39,Non-binary,English,Tablet,Standard,Chrome,2025-12-31 06:30:53,2026-01-01 02:30:53,2026-01-02 02:30:53,,2026-01-02 02:30:53,booked,True
a3f810d8-c85f-47ff-8598-32cc89445485,Google Ads,cmp_7224,ad_88395,google_ads,performance_v1,creative_a,2026-01-03 16:36:53,GMT,Phoenix,19,Non-binary,English,Mobile,Standard,Chrome,2026-01-03 16:59:53,,,,2026-01-03 16:59:53,lost,True
cffa177e-1dc1-4114-95ae-1e54979a782a,LinkedIn,cmp_7914,ad_92023,linkedin,brand_growth,creative_b,2025-12-24 09:06:53,GMT,Phoenix,51,Female,English,Mobile,Standard,Chrome,2025-12-24 09:21:53,2025-12-24 19:21:53,2025-12-25 19:21:53,,2025-12-25 19:21:53,booked,True
4bcefd2b-7be7-4ce4-9801-e8061f5790d3,Google Ads,cmp_7979,ad_44828,google_ads,performance_v1,creative_b,2025-12-16 20:02:53,GMT,Los Angeles,62,Prefer not to say,English,Mobile,Standard,Chrome,2025-12-16 21:28:53,2025-12-18 19:28:53,2025-12-20 19:28:53,,2025-12-20 19:28:53,booked,True
e3d8459d-14ae-4ff9-a26c-904ccb9a5091,Google Ads,cmp_6150,ad_13694,google_ads,brand_growth,creative_a,2025-12-24 04:09:53,GMT,San Jose,56,Prefer not to say,English,Desktop,Standard,Chrome,2025-12-24 05:12:53,2025-12-24 06:12:53,,,2025-12-24 06:12:53,engaged,True
